"","run","var1.pred","var1.var","observed","residual","zscore","fold","coords.x1","coords.x2"
"148","1_4",1.52269706177275,NA,1.88,0.357302938227251,NA,10,-25289.9509099945,6859374.06439918
"149","1_4",1.81427939157694,NA,1.65,-0.164279391576938,NA,11,-25278.1089421393,6859356.87014427
"150","1_4",1.36309328907388,NA,1.33,-0.0330932890738838,NA,12,-25278.6474936422,6859337.50361731
"151","1_4",0.905043737626756,NA,0.37,-0.535043737626756,NA,13,-25281.2048280087,6859317.65511798
"152","1_4",0.594694583728855,NA,0.56,-0.0346945837288551,NA,14,-25280.6819560147,6859306.26732239
"153","1_4",0.560019368903167,NA,0.4,-0.160019368903167,NA,15,-25261.2393738661,6859291.07386826
"154","1_4",0.724768703552285,NA,0.69,-0.0347687035522852,NA,16,-25258.069643539,6859311.3938384
"155","1_4",1.69406102066094,NA,1.48,-0.214061020660938,NA,17,-25251.9570199798,6859330.47103606
"156","1_4",1.91298522395504,NA,2.23,0.317014776044955,NA,18,-25253.6394649175,6859350.85654509
"157","1_4",1.70339351931662,NA,2.4,0.696606480683377,NA,19,-25253.3369496884,6859371.50308014
"158","1_4",2.10418996835058,NA,1.72,-0.384189968350581,NA,20,-25251.022755014,6859390.82347272
"159","1_4",1.59106994820549,NA,1.75,0.158930051794514,NA,21,-25245.9977279053,6859409.50204824
"160","1_4",1.9400981457208,NA,0.48,-1.4600981457208,NA,22,-25225.0557506843,6859420.65163302
"161","1_4",1.52572224941823,NA,2.06,0.534277750581769,NA,23,-25224.9437951067,6859401.29848039
"162","1_4",1.69866725131381,NA,2.22,0.521332748686194,NA,24,-25227.6143322031,6859382.82426704
"163","1_4",2.23013648263411,NA,0.86,-1.37013648263411,NA,25,-25229.7928732454,6859364.38769309
"164","1_4",1.88708735969562,NA,2.11,0.222912640304383,NA,26,-25229.6658600895,6859345.48454124
"165","1_4",1.74030678902354,NA,1.88,0.139693210976461,NA,27,-25230.5338398112,6859325.37703989
"166","1_4",1.16212084563308,NA,0.94,-0.222120845633076,NA,28,-25228.2615062564,6859306.3711182
"167","1_4",0.651916853620697,NA,0.54,-0.111916853620697,NA,29,-25228.3923931231,6859286.48983871
"168","1_4",0.579346709282408,NA,0.45,-0.129346709282408,NA,30,-25228.5311171194,6859267.96667413
"169","1_4",0.584135707607792,NA,0.37,-0.214135707607792,NA,31,-25216.951136152,6859268.79197953
"170","1_4",0.623113806468724,NA,0.94,0.316886193531276,NA,32,-25199.0729038136,6859283.9169239
"171","1_4",0.930308099176606,NA,0.74,-0.190308099176606,NA,33,-25191.3392704617,6859302.29334053
"172","1_4",0.811809601225441,NA,0.38,-0.431809601225441,NA,34,-25186.3035844427,6859322.1010684
"173","1_4",0.927607651431617,NA,0.28,-0.647607651431617,NA,35,-25178.1178308248,6859341.31277972
"174","1_4",1.23557973945742,NA,1.62,0.384420260542584,NA,36,-25169.750930662,6859359.59212015
"175","1_4",1.35353510215574,NA,1,-0.353535102155743,NA,37,-25161.6838476773,6859378.03050637
"176","1_4",0.71456448520588,NA,0.58,-0.13456448520588,NA,38,-25155.7261600571,6859396.45305655
"177","1_4",0.962837981092851,NA,0.46,-0.502837981092851,NA,39,-25183.2090774062,6859400.77958134
"178","1_4",0.730696202819581,NA,0.57,-0.160696202819581,NA,40,-25176.0660194027,6859420.94266527
"179","1_4",1.23415778173423,NA,1.63,0.395842218265769,NA,41,-25195.97593388,6859383.40101346
"180","1_4",1.92331061606396,NA,0.85,-1.07331061606396,NA,42,-25201.9846537038,6859364.64708425
"181","1_4",1.07233253367107,NA,2.82,1.74766746632893,NA,43,-25206.7734744295,6859344.68843988
"182","1_4",0.761655828151662,NA,0.53,-0.231655828151662,NA,44,-25182.0761040789,6859266.15900789
"183","1_4",0.968115221759373,NA,0.86,-0.108115221759373,NA,45,-25171.9920827579,6859285.41894994
"184","1_4",0.686117602403406,NA,1.59,0.903882397596595,NA,46,-25169.0170775146,6859305.88182585
"185","1_4",0.800983485934552,NA,0.73,-0.0709834859345522,NA,47,-25165.46144164,6859326.25568723
"186","1_4",1.18894262949047,NA,0.96,-0.228942629490468,NA,48,-25160.8253062585,6859345.22007078
"187","1_4",1.13131351230781,NA,2.22,1.08868648769219,NA,49,-25158.3970367096,6859365.9929144
"188","1_4",1.10827747956729,NA,0.76,-0.348277479567291,NA,50,-25148.8292407929,6859383.29664277
"189","1_4",0.812661757572166,NA,0.59,-0.222661757572166,NA,51,-25143.1453966177,6859403.457313
"190","1_4",0.636695041520415,NA,1.13,0.493304958479584,NA,52,-25124.8337287663,6859401.3285594
"191","1_4",1.22976954596014,NA,0.85,-0.379769545960136,NA,53,-25128.7835191356,6859382.25895523
"192","1_4",1.04223455210107,NA,2.31,1.26776544789893,NA,54,-25133.4683342887,6859362.6235773
"193","1_4",1.19724716447293,NA,0.53,-0.667247164472928,NA,55,-25136.5208192599,6859343.41641628
"194","1_4",0.485464382929698,NA,0.94,0.454535617070302,NA,56,-25139.1360679435,6859324.59452851
"195","1_4",0.537439341527068,NA,0.58,0.0425606584729322,NA,57,-25138.7973671309,6859305.65903278
"196","1_4",0.502236712890421,NA,0.54,0.0377632871095788,NA,58,-25138.5054821696,6859285.71304075
"197","1_4",0.549058336870502,NA,0.32,-0.229058336870502,NA,59,-25120.0642702932,6859294.64594128
"198","1_4",0.583185070960342,NA,0.31,-0.273185070960342,NA,60,-25120.901015184,6859314.56236083
"199","1_4",0.607066921432474,NA,0.51,-0.0970669214324738,NA,61,-25118.7101229852,6859333.7885188
"200","1_4",0.53646058321752,NA,1.06,0.52353941678248,NA,62,-25109.7231270965,6859351.18135908
"201","1_4",0.675196824950233,NA,0.75,0.0748031750497674,NA,63,-25105.473702523,6859370.09195859
"202","1_4",0.948774050639288,NA,0.31,-0.638774050639288,NA,64,-25101.1794112041,6859390.35258165
"203","1_4",0.628864066091451,NA,1.07,0.441135933908549,NA,65,-25083.755348267,6859380.67101964
"204","1_4",0.664392622594721,NA,1.02,0.355607377405279,NA,66,-25068.0955025597,6859384.15052271
"205","1_4",0.789930734630452,NA,0.54,-0.249930734630452,NA,67,-25044.1885929066,6859387.15753791
"206","1_4",0.835254239886383,NA,0.36,-0.475254239886383,NA,68,-25090.6418498525,6859361.82542003
"207","1_4",0.741494792520462,NA,0.52,-0.221494792520462,NA,69,-25100.6584503207,6859346.17343104
"208","1_6",1.63946967624441,NA,1.92,0.280530323755591,NA,1,-25280.1736794519,6859376.52279135
"209","1_6",1.09007181284089,NA,1.52,0.429928187159108,NA,2,-25279.216706126,6859396.5036215
"210","1_6",1.0673558305456,NA,0.38,-0.687355830545604,NA,3,-25278.1241740288,6859417.3682769
"211","1_6",0.77178378433923,NA,1.08,0.30821621566077,NA,4,-25275.1842312092,6859437.9496435
"212","1_6",0.834251245861269,NA,0.67,-0.164251245861269,NA,5,-25277.5674292982,6859457.99037469
"213","1_6",0.82756924998909,NA,0.32,-0.50756924998909,NA,6,-25298.3283242715,6859455.06791894
"214","1_6",0.607351123932173,NA,1.22,0.612648876067827,NA,7,-25295.0668296764,6859435.11861719
"215","1_6",0.996840045926507,NA,0.57,-0.426840045926507,NA,8,-25293.7523458396,6859414.45021317
"216","1_6",1.34178814184664,NA,0.59,-0.751788141846639,NA,9,-25292.0025160508,6859394.50659241
"217","1_6",1.58790387007885,NA,1.88,0.292096129921147,NA,10,-25289.9509099945,6859374.06439918
"218","1_6",1.85946190018497,NA,1.65,-0.209461900184966,NA,11,-25278.1089421393,6859356.87014427
"219","1_6",1.16785715468605,NA,1.33,0.16214284531395,NA,12,-25278.6474936422,6859337.50361731
"220","1_6",0.919113811298621,NA,0.37,-0.549113811298621,NA,13,-25281.2048280087,6859317.65511798
"221","1_6",0.772507393762068,NA,0.56,-0.212507393762068,NA,14,-25280.6819560147,6859306.26732239
"222","1_6",0.598190204797453,NA,0.4,-0.198190204797453,NA,15,-25261.2393738661,6859291.07386826
"223","1_6",0.903694533493443,NA,0.69,-0.213694533493443,NA,16,-25258.069643539,6859311.3938384
"224","1_6",1.47454244664923,NA,1.48,0.00545755335076725,NA,17,-25251.9570199798,6859330.47103606
"225","1_6",1.67659242050343,NA,2.23,0.553407579496573,NA,18,-25253.6394649175,6859350.85654509
"226","1_6",1.77018138191273,NA,2.4,0.629818618087269,NA,19,-25253.3369496884,6859371.50308014
"227","1_6",1.99798377667926,NA,1.72,-0.277983776679259,NA,20,-25251.022755014,6859390.82347272
"228","1_6",1.42117004534896,NA,1.75,0.328829954651038,NA,21,-25245.9977279053,6859409.50204824
"229","1_6",1.73549617825809,NA,0.48,-1.25549617825809,NA,22,-25225.0557506843,6859420.65163302
"230","1_6",1.46430800955547,NA,2.06,0.595691990444534,NA,23,-25224.9437951067,6859401.29848039
