;GEILO_TO_;GEILO_TO_I;OPPR;KOORDH;XML_TYPE;Dybde;GML_ID;GML_GEOMET;MALEMETODE;NOYAKTIGHE;SYNBARHET;H_MALEMETO;H_NOYAKTIG;MAX_AVVIK;AJOUR;OBJTYPE;x;y
260;0;0;3;0;xml_point;0.7;myr_djupn.259;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455495;6709635
261;0;0;3;0;xml_point;0.3;myr_djupn.260;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455490;6709637
262;0;0;3;0;xml_point;0.5;myr_djupn.261;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455482;6709631
263;0;0;3;0;xml_point;0.4;myr_djupn.262;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455471;6709626
264;0;0;3;0;xml_point;0.4;myr_djupn.263;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455455;6709627
265;0;0;3;0;xml_point;0.5;myr_djupn.264;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455443;6709621
266;0;0;3;0;xml_point;0.4;myr_djupn.265;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455443;6709605
267;0;0;3;0;xml_point;0.5;myr_djupn.266;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455438;6709593
268;0;0;3;0;xml_point;0.4;myr_djupn.267;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455433;6709585
269;0;0;3;0;xml_point;0.4;myr_djupn.268;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455445;6709583
270;0;0;3;0;xml_point;0.4;myr_djupn.269;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455438;6709571
271;0;0;3;0;xml_point;0.5;myr_djupn.270;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455413;6709594
272;0;0;3;0;xml_point;0.5;myr_djupn.271;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455399;6709587
273;0;0;3;0;xml_point;0.6;myr_djupn.272;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455384;6709582
274;0;0;3;0;xml_point;0.6;myr_djupn.273;geometryProperty;0;0;0;0;0;0;NA;myr_djupn;455375;6709589
